Username,Repo_name,Stars,Url,Issues,Pull_Requests,Forks,Topics
transitive-bullshit,create-react-library,4600,https://github.com/transitive-bullshit/create-react-library,114,12,307,Babel
babel,babel-loader,4600,https://github.com/babel/babel-loader,63,8,438,Babel
jaredpalmer,backpack,4500,https://github.com/jaredpalmer/backpack,55,23,200,Babel
duxianwei520,react,4400,https://github.com/duxianwei520/react,0,8,1600,Babel
fkling,astexplorer,4400,https://github.com/fkling/astexplorer,78,28,543,Babel
babel,minify,4300,https://github.com/babel/minify,155,31,238,Babel
tleunen,babel-plugin-module-resolver,3200,https://github.com/tleunen/babel-plugin-module-resolver,93,8,206,Babel
andywer,webpack-blocks,300,https://github.com/andywer/webpack-blocks,16,3,117,Babel
babel,babel-eslint,300,https://github.com/babel/babel-eslint,0,4,229,Babel
kunalkapadia,express-mongoose-es6-rest-api,2800,https://github.com/kunalkapadia/express-mongoose-es6-rest-api,58,11,695,Babel
thx,gogocode,2800,https://github.com/thx/gogocode,15,0,199,Babel
privatenumber,esbuild-loader,2700,https://github.com/privatenumber/esbuild-loader,7,0,65,Babel
uidotdev,react-course,2500,https://github.com/uidotdev/react-course,1,0,924,Babel
jlevy,the-art-of-command-line,10200,https://github.com/jlevy/the-art-of-command-line,107,96,1100,Bash
nvm-sh,nvm,55400,https://github.com/nvm-sh/nvm,284,57,5800,Bash
junegunn,fzf,42100,https://github.com/junegunn/fzf,229,41,1800,Bash
dylanaraps,pure-bash-bible,28300,https://github.com/dylanaraps/pure-bash-bible,31,15,2600,Bash
koalaman,shellcheck,27800,https://github.com/koalaman/shellcheck,729,5,1400,Bash
mathiasbynens,dotfiles,27400,https://github.com/mathiasbynens/dotfiles,132,57,8700,Bash
LeCoupa,awesome-cheatsheets,26900,https://github.com/LeCoupa/awesome-cheatsheets,14,34,4400,Bash
acmesh-official,acme.sh,25400,https://github.com/acmesh-official/acme.sh,689,153,3500,Bash
alebcay,awesome-shell,22900,https://github.com/alebcay/awesome-shell,29,52,2100,Bash
starship,starship,22400,https://github.com/starship/starship,294,73,931,Bash
jaywcjlove,linux-command,17900,https://github.com/jaywcjlove/linux-command,33,2,400,Bash
